Representation 1,Representation 2,Pearson Correlation,Spearman Correlation,Combined Correlation
# Fold 0
sim_Feature Graph,sim_Tree Descriptor,0.5153027176570367,0.7446780201604095,0.6299903689087232
sim_Feature Graph,sim_Leaf Profile,0.6318950918031754,0.7159358283488338,0.6739154600760047
sim_Feature Graph,sim_Topological Forest,0.4382280237714203,0.43805895225474617,0.4381434880130832
sim_Feature Graph,sim_INDTree,0.7007487645077689,0.71017376305567,0.7054612637817195
sim_Tree Descriptor,sim_Leaf Profile,0.44666752738002247,0.6115324403277952,0.5290999838539088
sim_Tree Descriptor,sim_Topological Forest,0.30591013790706034,0.4991107735355613,0.40251045572131083
sim_Tree Descriptor,sim_INDTree,0.46051390011031873,0.6063853187738293,0.533449609442074
sim_Leaf Profile,sim_Topological Forest,0.05549345025285224,0.17694437090483514,0.11621891057884369
sim_Leaf Profile,sim_INDTree,0.313201010583659,0.37925139777344674,0.3462262041785529
sim_Topological Forest,sim_INDTree,0.5823105344505877,0.657930040048617,0.6201202872496023
# Fold 1
sim_Feature Graph,sim_Tree Descriptor,0.5510448163285336,0.8087016194489907,0.6798732178887621
sim_Feature Graph,sim_Leaf Profile,0.6565805858084044,0.7451040110891506,0.7008422984487774
sim_Feature Graph,sim_Topological Forest,0.5078540540464477,0.48807999261589274,0.4979670233311702
sim_Feature Graph,sim_INDTree,0.7510238356684927,0.7423323887024074,0.74667811218545
sim_Tree Descriptor,sim_Leaf Profile,0.5714865613818181,0.7337360206748909,0.6526112910283545
sim_Tree Descriptor,sim_Topological Forest,0.3729043155761561,0.576376301138673,0.47464030835741455
sim_Tree Descriptor,sim_INDTree,0.5622339922977808,0.666630067395458,0.6144320298466195
sim_Leaf Profile,sim_Topological Forest,0.15742673671276664,0.25975308272344944,0.20858990971810804
sim_Leaf Profile,sim_INDTree,0.376858895134858,0.4316554510680311,0.40425717310144454
sim_Topological Forest,sim_INDTree,0.6275154072013297,0.6699796568492902,0.64874753202531
# Fold 2
sim_Feature Graph,sim_Tree Descriptor,0.4241279454417584,0.6716226760020448,0.5478753107219017
sim_Feature Graph,sim_Leaf Profile,0.6136364819557522,0.6761264821284024,0.6448814820420773
sim_Feature Graph,sim_Topological Forest,0.45395051729800495,0.44111723912612455,0.44753387821206475
sim_Feature Graph,sim_INDTree,0.7353698889949141,0.7455579387067466,0.7404639138508303
sim_Tree Descriptor,sim_Leaf Profile,0.41574242037671266,0.5995119221512617,0.5076271712639872
sim_Tree Descriptor,sim_Topological Forest,0.26766878404070055,0.5180734710252206,0.3928711275329606
sim_Tree Descriptor,sim_INDTree,0.4646923612108682,0.5945632714653913,0.5296278163381298
sim_Leaf Profile,sim_Topological Forest,0.049401687267181936,0.14803658273807227,0.0987191350026271
sim_Leaf Profile,sim_INDTree,0.28628675569270934,0.336218002512481,0.3112523791025952
sim_Topological Forest,sim_INDTree,0.6158375845208952,0.6621098536910204,0.6389737191059578
